;Задача;Тема
0;Между девятью планетами Солнечной системы введено космическое сообщение.  Ракеты летают по следующим маршрутам: Земля – Меркурий, Плутон – Венера, Земля – Плутон, Плутон – Меркурий, Меркурий – Венера, Уран – Нептун, Нептун – Сатурн, Сатурн – Юпитер, Юпитер – Марс и Марс – Уран. Можно ли добраться с Земли до Марса? ;Графы
1;В стране Цифра есть 9 городов с названиями 1, 2, 3, 4, 5, 6, 7, 8, 9. Путешественник обнаружил, что два города соединены авиалинией в том и только в том случае, если двузначное число, составленное из цифр-названий этих городов, делится на 3. Можно ли добраться из города 1 в город 9? ;Графы
2;В государстве 100 городов, и из каждого из них выходит 4 дороги. Сколько всего дорог в государстве?;Графы
3;В классе 30 человек. Может ли быть так, что 9 из них имеют по 3 друга (в этом классе), 11 – по 4 друга, а 10 – по 5 друзей?;Графы
4;В городе Маленьком 15 телефонов. Можно ли их соединить проводами так, чтобы было четыре телефона, каждый из которых соединен с тремя другими, восемь телефонов, каждый из которых соединен с шестью, и три телефона, каждый из которых соединен с пятью другими?;Графы
0;"В стране Семёрка 15 городов, каждый из которых соединён дорогами не менее, чем с семью другими. 
Докажите, что из каждого города можно добраться до любого другого (возможно, проезжая через другие города).";Графы
1;"Имеется группа островов, соединённых мостами так, что от каждого острова можно добраться до любого другого. Турист обошёл все острова, пройдя по каждому мосту ровно один раз. На острове Троекратном он побывал трижды. Сколько мостов ведёт с Троекратного, если турист 
   а) не с него начал и не на нём закончил? 
   б) с него начал, но не на нём закончил? 
   в) с него начал и на нём закончил? ";Графы
2;Докажите, что не существует графа без петель и кратных рёбер с пятью вершинами, степени которых равны 4, 4, 4, 4, 2.;Графы
3;Дима, приехав из Врунляндии, рассказал, что там есть несколько озер, соединённых между собой реками.  Из каждого озера вытекают три реки, и в каждое озеро впадают четыре реки. Докажите, что он ошибается.;Графы
4;"В классе больше 32, но меньше 40 человек. Каждый мальчик дружит с тремя девочками, а каждая девочка – с пятью мальчиками. 
Сколько человек в классе?";Графы
0;Несколько Совершенно Секретных Объектов соединены подземной железной дорогой таким образом, что каждый Объект напрямую соединён не более чем с тремя другими и от каждого Объекта можно добраться под землей до любого другого, сделав не более одной пересадки. Каково максимальное число Совершенно Секретных Объектов? ;Графы
1;Пешеход обошёл шесть улиц одного города, пройдя каждую ровно два раза, но не смог обойти их, пройдя каждую лишь раз. Могло ли это быть? ;Графы
2;В городе Маленьком 15 телефонов. Можно ли их соединить проводами так, чтобы каждый телефон был соединён ровно с пятью другими?;Графы
3;У короля 19 баронов-вассалов.  Может ли оказаться так, что у каждого вассального баронства одно, пять или девять соседних баронств?;Графы
4;Может ли в государстве, в котором из каждого города выходит три дороги, быть ровно 100 дорог?;Графы
0;Джон, приехав из Диснейленда, рассказывал, что там на заколдованном озере имеются семь островов, с каждого из которых ведет один, три или пять мостов. Верно ли, что хотя бы один из этих мостов обязательно выходит на берег озера?;Графы
1;Докажите, что число людей, когда-либо живших на Земле и сделавших нечётное число рукопожатий, чётно.;Графы
2;Можно ли нарисовать на плоскости 9 отрезков так, чтобы каждый пересекался ровно с тремя другими?;Графы
3;Докажите, что граф, в котором каждые две вершины соединены ровно одним простым путем, является деревом. ;Графы
4;Докажите, что в дереве каждые две вершины соединены ровно одним простым путем.;Графы
0;Имеется 30 человек, некоторые из них знакомы. Доказать, что число человек, имеющих нечётное число знакомых, чётно.;Графы
1;На клетчатом листе закрасили 25 клеток. Может ли каждая из них иметь нечётное число закрашенных соседей?;Графы
2;"Могут ли степени вершин в графе быть равны: 
   а) 8, 6, 5, 4, 4, 3, 2, 2? 
   б) 7, 7, 6, 5, 4, 2, 2, 1? 
   в) 6, 6, 6, 5, 5, 3, 2, 2? ";Графы
3;В графе каждая вершина – синяя или зелёная. При этом каждая синяя вершина связана с пятью синими и десятью зелёными, а каждая зелёная – с девятью синими и шестью зелёными. Каких вершин больше – синих или зелёных? ;Графы
4;В графе из каждой вершины выходит по три ребра. Может ли в нём быть 1990 рёбер?;Графы
0;Можно ли нарисовать эту картинку (см. рис.), не отрывая карандаша от бумаги и проходя по каждой линии по одному разу? ;Графы
1; ;Графы
2;"Страна называется пятёрочной, если в ней каждый город соединён авиалиниями ровно с пятью другими городами (международных рейсов нет).  
   а) Нарисуйте схему авиалиний для пятёрочной страны из 10 городов.
   б) Сколько авиалиний в пятёрочной стране из 50 городов? 
   в) Может ли существовать пятёрочная страна, в которой ровно 46 авиалиний?";Графы
3;Можно ли семь телефонов соединить проводами так, чтобы каждый телефон был соединён ровно с тремя? ;Графы
4;"Можно ли расположить на плоскости 
   а) 4 точки так, чтобы каждая из них была соединена отрезками с тремя другими (без пересечений)? 
   б) 6 точек и соединить их непересекающимися отрезками так, чтобы из каждой точки выходило ровно 4 отрезка? ";Графы
5;Выписать в ряд цифры от 1 до 9 (каждую по разу) так, чтобы каждые две подряд идущие цифры давали бы двузначное число, делящееся на 7 или на 13. ;Графы
0;"На сторонах некоторого многоугольника расставлены стрелки. 
Докажите, что число вершин, в которые входят две стрелки, равно числу вершин, из которых выходят две стрелки.";Графы
1;"Докажите, что не существует многогранника, у которого было бы ровно семь рёбер.
";Графы
2;"а) Дан кусок проволоки длиной 120 см.  Можно ли, не ломая проволоки, изготовить каркас куба с ребром 10 см? 	
б) Какое наименьшее число раз придется ломать проволоку, чтобы всё же изготовить требуемый каркас? ";Графы
3;Докажите, что в дереве есть вершина, из которой выходит ровно одно ребро (такая вершина называется висячей). ;Графы
4;Докажите, что при удалении любого ребра из дерева оно превращается в несвязный граф. ;Графы
0;Доказать, что число штатов США с нечётным  числом  соседей чётно.;Графы
1;"а) Из какого минимального числа кусков проволоки можно спаять каркас куба?

б) Какой максимальной длины кусок проволоки можно вырезать из этого каркаса? (Длина ребра куба равна 1 см.)";Графы
2;Метро города Урюпинска состоит из трёх линий и имеет по крайней мере две конечные станции и по крайней мере два пересадочных узла, причём ни одна из конечных станций не является пересадочной. С каждой линии на любую из остальных можно перейти по крайней мере в двух местах. Нарисуйте пример такой схемы метро, если известно, что это можно сделать, не отрывая карандаша от бумаги и не проводя два раза один и тот же отрезок. ;Графы
3;"Доска имеет форму креста, который получается, если из квадратной доски 4×4 выкинуть угловые клетки. 
Можно ли обойти её ходом шахматного коня и вернуться на исходное поле, побывав на всех полях ровно по разу?";Графы
4;Докажите, что граф с n вершинами, степень каждой из которых не менее n–1/2, связен.;Графы
0;В Тридевятом царстве лишь один вид транспорта – ковер-самолет. Из столицы выходит 21 ковролиния, из города Дальний – одна, а из всех остальных городов – по 20. Докажите, что из столицы можно долететь в Дальний (возможно, с пересадками). ;Графы
1;"Верно ли, что два графа изоморфны, если 
   а) у них по 10 вершин, степень каждой из которых равна 9? 
   б) у них по 8 вершин, степень каждой из которых равна 3? 
   в) они связны, без циклов и содержат по 6 рёбер? ";Графы
2;"На плоскости дано 100 окружностей, составляющих связную (то есть не распадающуюся на части) фигуру. 
Докажите, что эту фигуру можно нарисовать, не отрывая карандаша от бумаги и не проводя дважды одну и ту же линию. ";Графы
3;"Каждое из рёбер полного графа с 6 вершинами покрашено в один из двух цветов.
Докажите, что есть три вершины, все рёбра между которыми – одного цвета.";Графы
4;В некоторой стране есть столица и еще 100 городов. Некоторые города (в том числе и столица) соединены дорогами с односторонним движением. Из каждого нестоличного города выходит 20 дорог, и в каждый такой город входит 21 дорога.  Докажите, что в столицу нельзя проехать ни из одного города.;Графы
0;Докажите, что на рёбрах связного графа можно так расставить стрелки, чтобы из некоторой вершины можно было добраться по стрелкам до любой другой.;Графы
1;"В некоторой стране из столицы  выходит  89  дорог,  из  города Дальний – одна дорога, из остальных 1988 городов – по  20  дорог.
Доказать, что из столицы можно проехать в Дальний. ";Графы
2;В графе 100 вершин, причём степень каждой из них не меньше 50. Доказать, что граф связен.;Графы
3;Грани некоторого многогранника раскрашены в два цвета так, что соседние грани имеют разные цвета. Известно, что  все  грани, кроме одной, имеют число рёбер, кратное 3. Доказать, что и эта одна грань имеет кратное 3 число рёбер.;Графы
4;"а) В группе из четырёх человек, говорящих на разных языках, любые трое могут общаться (возможно, один переводит двум другим). 
Доказать, что их можно разбить  на пары, в каждой из которых имеется общий язык. 
б) То же для группы из 100 человек. 
в) То же для группы из 102 человек.";Графы
0;"В Заитильщине 57 деревень, между некоторыми из которых проложены дороги. Известно, что из каждой деревни можно попасть в любую другую, притом по единственному маршруту. 
   а) Докажите, что найдётся деревня, из которой выходит лишь одна дорога. 
   б) Сколько дорог в Заитильщине? ";Графы
1;В компании у каждых двух людей ровно пять общих знакомых. Докажите, что количество пар знакомых делится на 3. ;Графы
2;"В углах шахматной доски 3×3 стоят четыре коня: два белых (в соседних углах) и два чёрных. 
Можно ли за несколько ходов поставить коней так, чтобы во всех соседних углах стояли кони различного цвета? ";Графы
3;На плоскости даны шесть точек так, что никакие три из них не лежат на одной прямой. Каждая пара точек соединена отрезком синего или красного цвета. Докажите, что среди данных точек можно выбрать такие три, что все стороны образованного ими треугольника будут окрашены в один цвет. ;Графы
4;"Впишите в пять кружков натуральные числа так, чтобы выполнялись два условия:
   - если два кружка соединены линией, то стоящие в них числа должны отличаться ровно в два или ровно в четыре раза;
   - если два кружка не соединены линией, то отношение стоящих в них чисел не должно быть равно ни 2, ни 4.";Графы
0;Дан отрезок OA. Из конца отрезка A выходит 5 отрезков AB1, AB2, AB3, AB4, AB5. Из каждой точки Bi могут выходить ещё пять новых отрезков или ни одного нового отрезка и т.д. Может ли число свободных концов построенных отрезков равняться 1001? Под свободным концом отрезка понимаем точку, принадлежащую только одному отрезку (кроме точки O). ;Графы
1;"n точек соединены отрезками так, что каждая точка с чем-нибудь соединена и нет таких двух точек, которые соединялись бы двумя разными путями.
Доказать, что общее число отрезков равно  n – 1. ";Графы
2;"Система точек, соединённых отрезками, называется ""связной"", если из каждой точки можно пройти в любую другую по этим отрезкам. Можно ли соединить пять точек в связную систему так, чтобы при стирании любого отрезка образовались ровно две связные системы точек, не связанные друг с другом? (Мы считаем, что в местах пересечения отрезков переход с одного из них на другой невозможен.) ";Графы
3;"Как соединить 50 городов наименьшим числом авиалиний так, чтобы из каждого
города можно было попасть в любой, сделав не более двух пересадок? ";Графы
4;В компании из семи мальчиков каждый имеет среди остальных не менее трёх братьев.  Докажите, что все семеро – братья. ;Графы
0;Во время шахматного турнира, несколько игроков сыграли нечётное количество партий. Докажите, что число таких игроков чётно. ;Графы
1;"   Школьник сказал своему приятелю Вите Иванову: 
   – У нас в классе тридцать пять человек. И представь, каждый из них дружит ровно с одиннадцатью одноклассниками... 
   – Не может этого быть, – сразу ответил Витя Иванов, победитель
математической олимпиады. 
    Почему он так решил? ";Графы
2;"Резидент одной иностранной разведки сообщил в центр о готовящемся подписании ряда двусторонних соглашений  между пятнадцатью бывшими республиками СССР. 
Согласно его донесению, каждая из них заключит договор ровно с тремя другими. Заслуживает ли резидент доверия? ";Графы
3;"












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						104078







						Темы:
						 
					

						[
					



								Степень вершины							



						]
					



						[
					



								Делимость чисел. Общие свойства							



						]
					




Сложность: 3Классы: 5,6,7,8



В норке живёт семья из 24 мышей. Каждую ночь ровно четыре из них отправляются на склад за сыром. 
Может ли так получиться, что в некоторый момент времени каждая мышка побывала на складе с каждой ровно по одному разу? 












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						30430







						Темы:
						 
					

						[
					



								Связность и разложение на связные компоненты							



						]
					



						[
					



								Четность и нечетность							



						]
					



						[
					



								Доказательство от противного							



						]
					




Сложность: 3+Классы: 7,8



В стране из каждого города выходит 100 дорог и от каждого города можно добраться до любого другого. Одну дорогу закрыли на ремонт.
Докажите, что и теперь от каждого города можно добраться до любого другого.











					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 10 11 12  13  14 15 16 >> [Всего задач: 380]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Графы
4;"В норке живёт семья из 24 мышей. Каждую ночь ровно четыре из них отправляются на склад за сыром. 
Может ли так получиться, что в некоторый момент времени каждая мышка побывала на складе с каждой ровно по одному разу? ";Графы
5;"В стране из каждого города выходит 100 дорог и от каждого города можно добраться до любого другого. Одну дорогу закрыли на ремонт.
Докажите, что и теперь от каждого города можно добраться до любого другого.";Графы
0;Докажите, что существует граф с 2n вершинами, степени которых равны 1, 1, 2, 2, ..., n, n. ;Графы
1;В графе все вершины имеют степень 3. Докажите, что в нём есть цикл. ;Графы
2;"В стране Древляндия 101 город, и некоторые из них соединены дорогами. При этом каждые два города соединяет ровно один путь. 
Сколько в этой стране дорог? ";Графы
3;В стране Озёрная семь озер, соединённых между собой десятью непересекающимися каналами, причём от каждого озера можно доплыть до любого другого. Сколько в этой стране островов? ;Графы
4;Докажите, что для плоского графа справедливо неравенство  2E ≥ 3F. ;Графы
0;"На конференции присутствуют 50 учёных, каждый из которых знаком по крайней мере с 25 участниками конференции. 
Докажите, что найдутся четверо из них, которых можно усадить за круглый стол так, чтобы каждый сидел рядом со знакомыми ему людьми.";Графы
1;Дима нарисовал на доске семь графов, каждый из которых является деревом с шестью вершинами. Докажите, что среди них есть два изоморфных. ;Графы
2;"Какие-то две команды набрали в круговом волейбольном турнире одинаковое число очков. 
Докажите, что найдутся такие команды А, В и С, что А выиграла у В, В выиграла у С, а С выиграла у А. ";Графы
3;В стране Ориентация на всех дорогах введено одностороннее движение, причём из каждого города в любой другой можно добраться, проехав не более чем по двум дорогам. Одну дорогу закрыли на ремонт так, что из каждого города по-прежнему можно добраться до любого другого. Докажите, что для каждых двух городов это можно сделать, проехав не более чем по трём дорогам. ;Графы
0;"В кружке у каждого члена имеется один друг и один враг. Доказать, что 
   а) число членов чётно. 
   б) кружок можно разделить на два нейтральных кружка. ";Графы
1;Из полного 100-вершинного графа выкинули 98 рёбер. Доказать, что он остался связным.;Графы
2;"В стране каждые два города соединены дорогой с односторонним движением. 
Доказать, что существует город, из которого можно проехать в любой другой не более чем по двум дорогам. ";Графы
3;Доказать, что в двудольном плоском графе  E ≥ 2F,  если  E ≥ 2  (E – число рёбер, F – число областей). ;Графы
4;"12 команд сыграли турнир по волейболу в один круг. Две команды одержали ровно по 7 побед. 
Доказать, что найдутся такие команды А, В, С, что А выиграла у В, В выиграла у С, а С – у А. ";Графы
0;В стране n городов. Между каждыми двумя городами установлено воздушное сообщение одной из двух авиакомпаний. Докажите, из этих двух авиакомпаний хотя бы одна такова, что что из любого города можно попасть в любой другой рейсами только этой авиакомпании. ;Графы
