,problem_text,topic
0,To prove that the sum of the numbers of the exact square cannot be equal to 5.,number_theory
1,( b) Will the statement of the previous challenge remain true if Petia and Wasa originally planned four natural numbers?,number_theory
2,"The quadratic three-member graph with the coefficients has two points with the coordinates. Show that if the distance between them is the whole number, then the fraction is parallel to the abscisse axis.",polynoms
3,Can you draw on the surface of Rubik's cube a closed path that passes through each square exactly once (the top of the square does not pass through)?,combinatorics
4,"Dima, who came from Vrunlandia, said that there were several lakes connected by rivers, and there were three rivers coming out of each lake, and there were four rivers in each lake, so prove him wrong.",graphs
5,"If the number is the whole, the number is the whole.",number_theory
6,Can n sit 2n + 1 round table so that no two sit next to each other more than once if (a) n = 5; (b) n = 4; (c) n is an arbitrary natural number?,graphs
7,"Natural numbers a, b, c, d are such that ab = cd. Prove that there are such natural u, v, w, z that a = uv, b = wz, c = uw, d = vz.",number_theory
8,"The ABC angle triangle is placed in the circle of. The tangential to, taken through points B and C, crosses the tangent to, taken through point A, to points K and L respectively. The straight to K parallel to AB intersects with a line drawn through L parallel to the AC at point P. Prove that BP = CP.",geometry
9,"The dan convex ABCDEFGH, where all the inner angles are equal to each other, and the sides are equal through one – AB = CD = EF = GH, BC = DE = FG = HA (to be called a semi-right angle). By conducting diagonals AD, BE, CF, DG, EH, FA, GB and HC. Among the parts into which these diagonals break the inner area of the ocular, consider the one that contains it. If this part is an ocular, it is once again semi-right (this is obvious); in this case, similar diagonals are carried out in it, etc. If at some point the central figure is not an ocular, the process ends. Prove that if this process is endless, then the source ocular is the correct one.",invariant
10,Send comment Decision Page: < < 2 3 4 5 6 7 8 >> [Total tasks: 223] 1 2 5 10 20 50 100 with decisions,geometry
11,The circulatory legs are located in the knots of an infinite leaf of celled paper whose cells are squared on the side of 1. Permitted without changing the circulatory solution by turning it around one of the legs to move the second foot into another knot on the sheet. Is it possible to change the circulatory legs in a few such steps?,number_theory
12,"The secret service has N agents – 001, 002,..., 007,... n. The first agent is looking after the second, the second one is looking after the third, etc., n-i is looking after the first one. Prove that n is an odd number.",number_theory
13,"When the hockey tournament ended (in one lap), it turned out that each team could find a team (maybe from the same group) that scored an odd number of points in the games with the team's teams. Prove that an even number of teams participated in the tournament.",number_theory
14,"How many different ways are there to divide the number of 2004 into natural confluences, which are approximately equal? The numbers may be one or more. The numbers are called roughly equal if their differences are not greater than 1. The methods that differ only in order of composition are considered to be the same.",combinatorics
15,"On the right side of the street, there are houses with even natural numbers, on the left, with odd natural numbers, numbers increasing from the beginning of the street to the end on each side, but not necessarily running in a row. For each house on the right side of the street, there was a difference between the number and the number of the house opposite, and it turned out that all the numbers found were different. The largest number of the house on the street is $n. Find the lowest possible value of $n.",number_theory
16,At what natural n for each whole k ≥ n will there be a multiple n number with the sum of k? Send a comment.,number_theory
17,"The pedestrian walked six streets of the same city, every two times, but couldn't get around them every single time.",graphs
18,"Let the natural numerals m1, m2,..., mn are interchangeably simple. Prove that if the numbers x1, x2, xn run the full subtractive systems for the M1, m2,..., mn, respectively, the number x = x1m2...mn + m1x2m3...mn + + + m1m2...mn-1xn runs the complete subtractive system for the M1m2 module...mn.",number_theory
19,"From the cell cell square 100×100 was cut across the cell boundaries of 1950 dominos (two-cell rectangles). Prove that the remaining part can be cut across the cell boundaries of a four-cell figure of the species T, possibly wrapped. (If such a figure already exists among the remaining parts, it is believed that it has been cut.)",invariant
20,"Prove that if ABCD is a written quadrilateral, the sum of the radius of the circles in the ABC and ACD triangles is equal to the sum of the radius of the circles in the BCD and BDA triangles. Send a comment Decision Page: << 30 31 32 33 35 35 >> [Total tasks: 223] 1 2 5 10 20 50 100 with decisions",geometry
21,The correct 1981 coal has 64 vertices. Prove that there is a trapeze with vertices at the points noted.,dirichlet
22,"Let p be a prime number greater than 2, and m/n = 1 + 1 / 2 + 1 / 3 +... + 1/p -1.",number_theory
